[01:17:23] sample conn=disabled/Off G2194_PS=enabled/1 VPOS2=/1 VPOS1=/1 VGH1=/1 VGH2=/1 VPDD=/1 VCOM=disabled/0 FPGA_PWR_EN=enabled/1 VGL=/1 VNEG3=/1 VNEG2=/1 VNEG1=/1 VPOS3=/1
[01:17:24] sample conn=disabled/Off G2194_PS=enabled/1 VPOS2=/1 VPOS1=/1 VGH1=/1 VGH2=/1 VPDD=/1 VCOM=disabled/0 FPGA_PWR_EN=enabled/1 VGL=/1 VNEG3=/2 VNEG2=/2 VNEG1=/2 VPOS3=/2
[01:17:25] sample conn=enabled/On G2194_PS=enabled/1 VPOS2=/2 VPOS1=/2 VGH1=/1 VGH2=/2 VPDD=/2 VCOM=enabled/1 FPGA_PWR_EN=enabled/1 VGL=/2 VNEG3=/2 VNEG2=/2 VNEG1=/2 VPOS3=/2
[01:17:27] sample conn=enabled/On G2194_PS=enabled/1 VPOS2=/2 VPOS1=/2 VGH1=/1 VGH2=/2 VPDD=/2 VCOM=enabled/1 FPGA_PWR_EN=enabled/1 VGL=/2 VNEG3=/2 VNEG2=/2 VNEG1=/2 VPOS3=/2
[01:17:28] sample conn=enabled/On G2194_PS=enabled/1 VPOS2=/2 VPOS1=/2 VGH1=/1 VGH2=/2 VPDD=/2 VCOM=enabled/1 FPGA_PWR_EN=enabled/1 VGL=/2 VNEG3=/2 VNEG2=/2 VNEG1=/2 VPOS3=/2
[01:17:29] sample conn=enabled/On G2194_PS=enabled/1 VPOS2=/2 VPOS1=/2 VGH1=/1 VGH2=/2 VPDD=/2 VCOM=enabled/1 FPGA_PWR_EN=enabled/1 VGL=/2 VNEG3=/2 VNEG2=/2 VNEG1=/2 VPOS3=/2
[01:17:30] sample conn=enabled/On G2194_PS=enabled/1 VPOS2=/2 VPOS1=/2 VGH1=/1 VGH2=/2 VPDD=/2 VCOM=enabled/1 FPGA_PWR_EN=enabled/1 VGL=/2 VNEG3=/2 VNEG2=/2 VNEG1=/2 VPOS3=/2
[01:17:31] sample conn=enabled/On G2194_PS=enabled/1 VPOS2=/2 VPOS1=/2 VGH1=/1 VGH2=/2 VPDD=/2 VCOM=enabled/1 FPGA_PWR_EN=enabled/1 VGL=/2 VNEG3=/2 VNEG2=/2 VNEG1=/2 VPOS3=/2
[01:17:32] sample conn=enabled/On G2194_PS=enabled/1 VPOS2=/2 VPOS1=/2 VGH1=/1 VGH2=/2 VPDD=/2 VCOM=enabled/1 FPGA_PWR_EN=enabled/1 VGL=/2 VNEG3=/2 VNEG2=/2 VNEG1=/2 VPOS3=/2
[01:17:34] sample conn=enabled/On G2194_PS=enabled/1 VPOS2=/2 VPOS1=/2 VGH1=/1 VGH2=/2 VPDD=/2 VCOM=enabled/1 FPGA_PWR_EN=enabled/1 VGL=/2 VNEG3=/2 VNEG2=/2 VNEG1=/2 VPOS3=/2
[01:17:35] sample conn=enabled/On G2194_PS=enabled/1 VPOS2=/2 VPOS1=/2 VGH1=/1 VGH2=/2 VPDD=/2 VCOM=enabled/1 FPGA_PWR_EN=enabled/1 VGL=/2 VNEG3=/2 VNEG2=/2 VNEG1=/2 VPOS3=/2
